trace_id,path,resourceType,label,source,judge_verdict,included
PMC4100269,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC4100269.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC4389205,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC4389205.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC4434215,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC4434215.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC4754484,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC4754484.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC4769612,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC4769612.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC4855788,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC4855788.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC4949503,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC4949503.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC5128393,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC5128393.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC5412606,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC5412606.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC5572152,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC5572152.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC5651110,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC5651110.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC5870216,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC5870216.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC5896219,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC5896219.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC6158818,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC6158818.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC6288932,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC6288932.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC6360821,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC6360821.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC6402948,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC6402948.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC6959157,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC6959157.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC7372148,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC7372148.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC7986947,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC7986947.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC8110420,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC8110420.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC8365578,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC8365578.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC8437670,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC8437670.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC8544292,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC8544292.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC8666636,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC8666636.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC8968015,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC8968015.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC9006327,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC9006327.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC9006328,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC9006328.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC9022340,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC9022340.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC9069601,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC9069601.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC9234622,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC9234622.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC9254170,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC9254170.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC9361806,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC9361806.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC9389568,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC9389568.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC9523897,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC9523897.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC9540301,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC9540301.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC9610036,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC9610036.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC9679462,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC9679462.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC9721246,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC9721246.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC9789769,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC9789769.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
PMC9949802,/Users/paulgoldschmidt/Desktop/git/PaulGoldschmidt/HealthGuard/testdata/streamlined/medcasereasoning/rationale/PMC9949802.json,clinicalCaseDiagnosis,flawed,rationale_wrong,mismatch,true
